subj,trial,condition,target,respond,error,trial_duration,fb,fb_true,fb_offset,fb_time,conf
Test_08,137,2,-290.1136,335.74080000000004,-45.627200000000016,47.90833333333333,14.59121,45.81274,-31.221529999999998,15.291666666666666,0.3920078
Test_08,138,3,285.61442,-319.2699,-33.65548000000001,49.46666666666667,0.0,255.9326,-255.9326,16.825,0.7819964
Test_08,139,2,-165.32640000000004,212.8206,-47.49419999999998,31.65,10.4542,60.12409,-49.66989,9.266666666666667,0.7199972
Test_08,140,1,-110.9682,189.49130000000002,-78.52310000000003,26.708333333333332,18.60769,268.0107,-249.40301,8.35,0.806996
Test_08,141,1,184.24259999999992,-248.01369999999997,-63.77110000000005,31.233333333333334,-13.28309,250.5891,-263.87219,10.8,0.5549993
Test_08,142,1,-206.28873,240.71128999999996,-34.422559999999976,33.041666666666664,-9.152194,32.54374,-41.695934,10.475,0.6219984
Test_08,143,3,80.83651000000003,-134.21770999999995,-53.38119999999992,21.925,0.0,226.9171,-226.9171,6.591666666666667,0.6809977
Test_08,144,3,-80.2259,104.81029999999998,-24.584399999999988,31.016666666666666,0.0,25.24532,-25.24532,6.216666666666667,0.7119973
Test_08,145,1,17.152799999999957,-72.76159999999999,-55.60880000000003,24.233333333333334,-24.54288,218.3077,-242.85058,4.191666666666666,0.9759939
Test_08,146,1,208.97250000000008,-259.27389999999997,-50.30139999999989,34.083333333333336,-15.62965,12.19348,-27.82313,10.475,0.9109947
Test_08,147,2,171.56189,-252.09512,-80.53323,30.85,-29.0107,172.8894,-201.9001,8.633333333333333,0.9459943
Test_08,148,2,-227.4338,303.8814,-76.4476,37.36666666666667,-17.78932,292.3835,-310.17282,10.933333333333334,0.6250048
Test_08,149,2,-85.00200000000004,122.29910000000001,-37.29709999999997,20.941666666666666,16.79507,173.1007,-156.30562999999998,5.941666666666666,0.9479942
Test_08,150,1,-25.548100000000005,62.23589999999999,-36.68779999999998,29.083333333333332,-1.567723,8.866566,-10.434289,3.158333333333333,0.8819951
Test_08,151,1,-117.61479999999997,128.95770000000002,-11.342900000000043,31.366666666666667,-12.9483,198.1172,-211.0655,17.233333333333334,0.7849963
Test_08,152,1,226.56429999999995,-269.66799999999995,-43.1037,32.40833333333333,83.84318,13.14999,70.69319,9.658333333333333,0.7149972
Test_08,153,1,-211.28289000000007,305.84088,-94.55798999999996,32.858333333333334,-24.91925,170.6966,-195.61585,10.291666666666666,0.5449994
Test_08,154,1,314.79530000000005,-318.15900000000005,-3.3636999999999944,48.4,31.54791,62.78376,-31.23585,16.208333333333332,0.3790016
Test_08,155,1,-180.6735,212.0848,-31.41130000000001,26.283333333333335,5.750605,254.9283,-249.177695,8.533333333333333,0.5659992
Test_08,156,1,274.8529,-282.11485,-7.261950000000013,44.50833333333333,-17.47211,84.99451,-102.46662,14.083333333333334,0.3310022
Test_08,157,1,229.26365000000004,-295.4181,-66.15444999999994,33.43333333333333,-32.09097,293.2874,-325.37837,11.166666666666666,0.7569967
Test_08,158,2,21.142698999999993,-65.59512000000001,-44.452421000000015,23.075,-2.466405,73.16827,-75.634675,4.008333333333334,0.7219971
Test_08,159,2,119.21679000000006,-173.8854,-54.668609999999944,54.266666666666666,23.81425,237.0418,-213.22755,8.625,0.7409969
Test_08,160,1,-175.89729999999997,261.31879000000004,-85.42149000000006,29.158333333333335,2.993054,21.14305,-18.149995999999998,8.458333333333334,0.6609979
Test_08,161,1,62.08834000000002,-139.4533,-77.36496,22.925,21.43809,333.9828,-312.54471,5.658333333333333,0.6349983
Test_08,162,1,-159.0902,263.1042,-104.01399999999998,29.408333333333335,-53.78752,113.7722,-167.55972,6.766666666666667,0.7159972
Test_08,163,1,315.85781000000003,-329.03182,-13.174009999999953,37.075,26.96809,9.714342,17.253748,13.625,0.5689991
Test_08,164,1,265.25973999999997,-285.57466,-20.31492000000003,35.35,34.32515,198.2485,-163.92335,13.541666666666666,0.9099947
Test_08,165,1,-123.78930000000003,157.8958,-34.10649999999998,22.833333333333332,10.2683,24.0343,-13.766000000000002,5.941666666666666,0.7409969
Test_08,166,1,139.6752,-208.66160000000002,-68.98640000000003,32.38333333333333,15.64061,209.9495,-194.30889,7.975,0.5689991
Test_08,167,1,-173.81763999999998,226.2056,-52.38796000000002,28.958333333333332,10.73306,342.2648,-331.53173999999996,8.825,0.7369969
Test_08,168,2,154.3034,-200.86669999999998,-46.56329999999997,21.833333333333332,10.29797,194.4164,-184.11843000000002,7.625,0.7139972
Test_08,169,1,201.70418999999998,-222.3351,-20.63091000000003,25.658333333333335,-17.57043,357.0214,-374.59183,9.833333333333334,0.7239971
Test_08,170,2,241.98579999999998,-275.15623,-33.17043000000001,31.633333333333333,-9.576427,201.1216,-210.698027,11.458333333333334,0.6029987
Test_08,171,1,-251.93609999999995,276.0516,-24.115500000000054,30.625,14.77912,15.79706,-1.0179399999999994,12.108333333333333,0.6059986
Test_08,172,1,-214.96939999999998,223.62479999999996,-8.655399999999986,28.933333333333334,-28.91519,197.2821,-226.19729,14.633333333333333,0.7279971
Test_08,173,1,-230.88171000000006,260.63944,-29.757729999999924,32.375,57.92699,348.9201,-290.99311,11.225,0.6509981
